WKT,id,start_date,end_date,description,user_id,created,last_modified,source_id,type,night_bombing,map_sheet_id
"POINT (-0.120218 51.438347)","628",1940/09/07 14:50:00,1940/09/07 14:50:00,"Faygate Road, SW2, London, UK ; All owned by Wandsworth Borough council or South Met Gas: Roadway and paving all damaged. Gas mains fractured, several private houses damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.119172 51.436622)","627",1940/09/07 14:50:00,1940/09/07 14:50:00,"Keymer Road, SW2, London, UK ; All owned by Wandsworth Borough council or South Met Gas: Roadway and paving all damaged. Gas mains fractured, several private houses damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.12777 51.500302)","626",1940/09/07 14:50:00,1940/09/07 14:50:00,"Lydhurst Avenue, Streatham Hill, SW2, London, UK ; All owned by Wandsworth Borough council or South Met Gas: Roadway and paving all damaged. Gas mains fractured, several private houses damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.12777 51.500302)","625",1940/09/07 14:50:00,1940/09/07 14:50:00,"Lydhurst Avenue, Streatham Hill, SW2, London, UK ; All owned by Wandsworth Borough council or South Met Gas: Roadway and paving all damaged. Gas mains fractured, several private houses damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.059993 51.431329)","624",1940/09/07 14:50:00,1940/09/07 14:50:00,"36 Willow Way, Sydenahm, SE26, London, UK ; IB burned out in garden","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.194468 51.495486)","623",1940/09/07 14:50:00,1940/09/07 14:50:00,"79-83c Lexham Gardens, w8, London, UK ; three private houses and contents severely damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.196807 51.495892)","622",1940/09/07 14:50:00,1940/09/07 14:50:00,"108, Earls Court Road, w8, London, UK ; 14 rooms severely damaged, 1 male 1 femailekilled","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.13374 51.4891)","621",1940/09/07 14:50:00,1940/09/07 14:50:00,"Lillington Street, Pimlico, SW1, London, UK ; 2x2 roadway damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.12777 51.500302)","175",1940/09/06 19:10:00,1940/09/06 19:10:00,"91 Ardgowan Road, Catford SE6, London, UK ; landing on 1st floor damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
"POINT (-0.06422 51.495153)","174",1940/09/06 18:50:00,1940/09/06 18:50:00,"101 Storks Road, Bermondsey, SE16, London, UK ; 4 private houses severely damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.12777 51.500302)","173",1940/09/06 18:47:00,1940/09/06 18:47:00,"Sportsbank Street, Catford, SE6., London, UK ; Three private houses damaged and three severely damaged","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",XB,false,
"POINT (-0.139904 51.4962)","620",1940/09/07 14:50:00,1940/09/07 14:50:00,"Stillington Street, Westminster, SW1, London, UK ; 2x1 roadway damage","1",2012/02/19 18:00:00,2012/02/19 20:04:00,"1",IB,false,
